state_0,state_1,state_2,norm_state_0,norm_state_1,norm_state_2,action_0
0.9972427,0.074209176,0.90092736,0.45907035,0.31445947,0.40434572,-2.0
0.99426955,0.106902,0.65658426,0.45386884,0.4045465,0.29088327,-2.0
0.99169815,0.1285877,0.43676078,0.44937015,0.46430272,0.18880671,-2.0
0.99013144,0.14014196,0.23320155,0.4466292,0.4961412,0.094282545,-2.0
0.9898612,0.1420382,0.038308013,0.44615638,0.5013664,0.003782366,-2.0
0.99093336,0.1343545,-0.15516333,0.44803214,0.4801935,-0.08605741,-2.0
0.9931584,0.11677511,-0.35439748,0.4519249,0.43175244,-0.17857319,-1.5334604
0.9957526,0.09206981,-0.4968352,0.4564634,0.36367553,-0.24471514,-0.41033053
0.99770695,0.06768199,-0.4893324,0.4598826,0.29647344,-0.24123117,0.026665017
0.99894196,0.045988984,-0.43457118,0.46204326,0.23669706,-0.2158024,0.20006141
0.99962187,0.027498234,-0.37007022,0.46323276,0.1857447,-0.18585093,0.24960877
0.9999292,0.011901159,-0.31200522,0.46377042,0.14276604,-0.15888804,0.26994067
0.9999992,-0.0012279728,-0.26258826,0.46389294,0.10658794,-0.13594094,0.27374172
0.9999237,-0.012350058,-0.22244798,0.46376082,0.07594037,-0.11730151,0.28685224
0.9997627,-0.021782782,-0.18868268,0.46347916,0.04994794,-0.10162236,0.3003856
0.99955654,-0.0297782,-0.15996192,0.46311846,0.027916092,-0.08828567,0.31614
0.99933296,-0.03651821,-0.13487458,0.4627273,0.009343596,-0.07663619,0.32559383
0.9991098,-0.042185016,-0.11342416,0.4623369,-0.0062716273,-0.06667554,0.33217514
0.9988976,-0.046942115,-0.09523665,0.46196565,-0.019380096,-0.05823004,0.33684725
0.99870205,-0.050933134,-0.07991616,0.46162352,-0.030377585,-0.05111586,0.34049743
0.99852574,-0.05428056,-0.06704139,0.46131507,-0.039601617,-0.04513737,0.3434711
0.99836916,-0.057087753,-0.05623114,0.46104112,-0.047337003,-0.040117554,0.34592664
0.99823177,-0.059441645,-0.04715796,0.46080077,-0.053823292,-0.03590436,0.34796298
0.9981123,-0.061415266,-0.039544746,0.4605918,-0.059261724,-0.03236911,0.34965545
0.9980091,-0.06306995,-0.033157878,0.4604112,-0.06382129,-0.029403323,0.35106498
0.99792045,-0.06445715,-0.027800594,0.4602561,-0.06764381,-0.02691563,0.35223937
0.9978447,-0.06562006,-0.023307549,0.46012357,-0.07084827,-0.024829254,0.35321867
0.9977801,-0.06659491,-0.01953979,0.46001053,-0.07353455,-0.023079667,0.35403723
0.9977252,-0.067412086,-0.016380388,0.4599145,-0.075786315,-0.021612577,0.35472035
0.9976787,-0.068097085,-0.013731403,0.45983317,-0.07767387,-0.020382503,0.3552915
0.99763936,-0.06867126,-0.011510491,0.45976433,-0.079256035,-0.019351207,0.35576898
0.9976061,-0.06915254,-0.0096485885,0.45970616,-0.080582246,-0.018486619,0.35616857
0.997578,-0.06955595,-0.00808771,0.45965704,-0.08169387,-0.017761813,0.3565033
0.9975544,-0.06989409,-0.0067791776,0.45961574,-0.08262563,-0.017154187,0.35678285
0.9975345,-0.0701775,-0.0056823147,0.4595809,-0.08340659,-0.016644852,0.35701728
0.99751776,-0.07041506,-0.004762852,0.4595516,-0.08406118,-0.016217893,0.35721326
0.9975037,-0.07061417,-0.003992157,0.459527,-0.08460984,-0.015860016,0.35737753
0.9974919,-0.07078106,-0.0033461547,0.45950636,-0.08506972,-0.015560039,0.3575151
0.99748194,-0.07092094,-0.0028046842,0.45948893,-0.085455164,-0.015308604,0.35763085
0.9974736,-0.07103818,-0.0023507623,0.45947433,-0.08577823,-0.015097822,0.35772717
0.99746656,-0.07113645,-0.0019703233,0.45946205,-0.08604903,-0.014921162,0.35780835
